#K-Path(1/A) Energy-Window(eV)
    0.000000    -46.000000
    0.819243    -46.000000
    0.819243      3.000000
    0.819243    -46.000000
    1.199079    -46.000000
    1.199079      3.000000
    1.199079    -46.000000
    1.578916    -46.000000
    1.578916      3.000000
    1.578916    -46.000000
    2.051906    -46.000000
    2.051906      3.000000
    2.051906    -46.000000
    2.519719    -46.000000
    2.519719      3.000000
    2.519719    -46.000000
    2.987532    -46.000000
    2.987532      3.000000
    2.987532    -46.000000
    3.933512    -46.000000
    3.933512      3.000000
    3.933512    -46.000000
    4.540138    -46.000000
    4.540138      3.000000
    4.540138    -46.000000
    5.146764    -46.000000
    5.146764      3.000000
    5.146764    -46.000000
    5.570297    -46.000000
    5.570297      3.000000
    5.570297    -46.000000
    6.176923    -46.000000
    6.176923      3.000000
    6.176923    -46.000000
    6.783549    -46.000000
    6.783549      3.000000
    6.783549    -46.000000
    7.602792    -46.000000
    7.602792      3.000000
    7.602792    -46.000000
    7.982628    -46.000000
    7.982628      3.000000
    7.982628    -46.000000
    8.362465    -46.000000
    8.362465      3.000000
    8.362465    -46.000000
    8.835455    -46.000000
    8.835455      3.000000
    8.835455    -46.000000
    9.303268    -46.000000
    9.303268      3.000000
    9.303268    -46.000000
    9.771081    -46.000000
    9.771081      3.000000
    9.771081    -46.000000
   10.717061    -46.000000
   10.717061      3.000000
    0.000000      3.000000
    0.000000    -46.000000
    0.000000      0.000000
   10.717061      0.000000
